DIE2_NAME : FLASH_2MB_EON,,,,,,
DIE_SIZE : 1305x1275,,,,,,
DIE2_LOC : 500,2000,,,,,
PLACEMENT: R180,,,,,,
COORD : BOTTOM_LEFT,,,,,,
,,,,,,
D2_NUM,D2_PAD_NAME,X,Y,D1_NUM,D1_PAD,TYPE
D2.1,VSS2,183.35,78.29,0,,G
D2.2,VSS1,263.35,78.29,0,,G
D2.3,WP#,343.35,78.29,98,QSPI0_WP,
D2.4,DO,423.35,78.29,99,QSPI0_DO,
D2.5,CS#,503.35,78.29,100,QSPI0_CS,
D2.6,VCC1,732.43,78.29,101,VDD33_FLS,P
D2.7,VCC2,812.43,78.29,101,VDD33_FLS,P
D2.8,HOLD,892.43,78.29,102,QSPI0_HOLD,
D2.9,CLK,972.43,78.29,103,QSPI0_CLK,
D2.10,DI,1052.43,78.29,104,QSPI0_DI,
