DIE2_NAME : FLASH_2MB_GD,,,,,
DIE_SIZE : 1401x1107,,,,,
DIE2_LOC : 500 2000,,,,,
PLACEMENT: R0,,,,,
COORD : C,,,,,
,,,,,
D2_NUM,D2_PAD_NAME,X,Y,D1_PAD,TYPE
D2.1,CS#,572.5,186.5,QSPI0_CS,signal
D2.2,SO,575.5,276.5,QSPI0_DO,signal
D2.3,WP#,575.5,366.5,QSPI0_WP,signal
D2.4,VSS,600.5,456.5,,power
D2.5,SI,-575.5,443.5,QSPI0_DI,signal
D2.6,SCLK,-575.5,351.5,QSPI0_CLK,signal
D2.7,HOLD,-575.5,232.5,QSPI0_HOLD,signal
D2.8,VCC,-522.5,142.5,VDD33_FLS,power
D2.9,WP#2,-316.5,173.5,,
D2.10,SO2,-137.5,173.5,,
D2.11,CS#2,-47.5,173.5,,
