DIE2_NAME : FLASH_4MB_EON,,,,,,
DIE_SIZE : 1305x1820,,,,,,
DIE2_LOC : 500 1300,,,,,,
PLACEMENT: R180,,,,,,
COORD : BL,,,,,,
,,,,,,
D2_NUM,D2_PAD_NAME,X,Y,D1_NUM,D1_PAD,TYPE
D2.1,VSS2,183.35,78.29,,,power
D2.2,VSS1,263.35,78.29,,,power
D2.3,WP#,343.35,78.29,98,QSPI0_WP,signal
D2.4,DO,423.35,78.29,99,QSPI0_DO,signal
D2.5,CS#,503.35,78.29,100,QSPI0_CS,signal
D2.6,VCC1,732.43,78.29,101,VDD33_FLS,power
D2.7,VCC2,812.43,78.29,101,VDD33_FLS,power
D2.8,HOLD,892.43,78.29,102,QSPI0_HOLD,signal
D2.9,CLK,972.43,78.29,103,QSPI0_CLK,signal
D2.10,DI,1052.43,78.29,104,QSPI0_DI,signal
