DIE2_NAME : FLASH_4MB_GD,,,,,
DIE_SIZE : 1401x1682,,,,,
DIE2_LOC : 500 1500,,,,,
PLACEMENT: R0,,,,,
COORD : CENTER,,,,,
,,,,,
D2_NUM,D2_PAD_NAME,X,Y,D1_PAD,TYPE
D2.1,CS#,572.5,474,QSPI0_CS,signal
D2.2,SO,575.5,564,QSPI0_DO,signal
D2.3,WP#,575.5,654,QSPI0_WP,signal
D2.4,VSS,600.5,744,,power
D2.5,SI,-575.5,731,QSPI0_DI,signal
D2.6,SCLK,-575.5,639,QSPI0_CLK,signal
D2.7,HOLD#,-575.5,520,QSPI0_HOLD,signal
D2.8,VCC,-522.5,430,VDD33_FLS,power
D2.9,WP#2,-170.5,461,,
D2.10,SO2,-80.5,461,,
D2.11,CS#2,9.5,461,,
D2.12,SCLK2,-211.5,674,,
