DIE3_NAME : PSRAM_4MB,,,,,
DIE_SIZE : 1080x1052,,,,,
DIE3_LOC : 2000 800,,,,,
PLACEMENT: R0,,,,,
COORD : CENTER,,,,,
,,,,,
D2_NUM,D2_PAD_NAME,X,Y,D1_PAD,TYPE
D3.1,VSSQ,450.074,424.188,,power
D3.2,DQS,450.074,359.188,PAD_DQS,signal
D3.3,DQ7,450.074,294.188,PAD_DQ7,signal
D3.4,DQ6,450.074,229.188,PAD_DQ6,signal
D3.5,DQ5,450.074,164.188,PAD_DQ5,signal
D3.6,DQ4,450.074,99.188,PAD_DQ4,signal
D3.7,CLK,450.074,34.188,PAD_CK_LS,signal
D3.8,CLKB,450.074,-30.812,PAD_CKB_LS,signal
D3.9,CEB,450.074,-95.812,PAD_CEB_LS,signal
D3.10,DQ3,450.074,-160.812,PAD_DQ3,signal
D3.11,DQ2,450.074,-225.812,PAD_DQ2,signal
D3.12,DQ1,450.074,-290.812,PAD_DQ1,signal
D3.13,DQ0,450.074,-355.812,PAD_DQ0,signal
D3.14,DM,450.074,-420.812,PAD_RESB,signal
D3.15,NC,-453,411.414,,
D3.16,VSS,-453,339.414,,power
D3.17,VDD,-453,-262.744,,power
D3.18,VDDQ,-453,-334.744,,power
