DIE3_NAME : PSRAM_8MB,,,,,,
DIE_SIZE : 1204x1825,,,,,,
DIE3_LOC : 2000 800,,,,,,
PLACEMENT: R0,,,,,,
COORD : CENTER,,,,,,
,,,,,,
D2_NUM,D2_PAD_NAME,X,Y,D1_NUM,D1_PAD,TYPE
D3.1,VDD,518,834,,,power
D3.2,VSS,518,769,,,power
D3.3,VDDQ,518,704,75,PAD_DDR_VLDO,power
D3.4,CLK_c,518,639,74,PAD_CKB,signal
D3.5,CLK_t,518,574,73,PAD_CK,signal
D3.6,VSSQ,518,509,,,power
D3.7,CEB,518,444,,PAD_CEB,signal
D3.8,DM,518,379,,PAD_LDM,signal
D3.9,VDDQ,518,314,69,PAD_DDR_VLDO,power
D3.10,DQS_c,518,249,,PAD_DQSB,signal
D3.11,DQS_t,518,184,,PAD_DQS,signal
D3.12,VSSQ,518,119,,,power
D3.13,DQ7,518,54,,PAD_DQ7,signal
D3.14,DQ6,518,-11,,PAD_DQ6,signal
D3.15,VDDQ,518,-76,63,PAD_DDR_VLDO,power
D3.16,DQ5,518,-141,,PAD_DQ5,signal
D3.17,DQ4,518,-206,,PAD_DQ4,signal
D3.18,VSSQ,518,-271,,,power
D3.19,DQ3,518,-336,,PAD_DQ3,signal
D3.20,DQ2,518,-401,,PAD_DQ2,signal
D3.21,VDDQ,518,-466,54,PAD_DDR_VLDO,power
D3.22,DQ1,518,-531,,PAD_DQ1,signal
D3.23,DQ0,518,-596,,PAD_DQ0,signal
D3.24,VSSQ,518,-661,,,power
D3.25,NC,518,-726,,,
D3.26,RESETb,518,-791,,PAD_RESB,signal
D3.27,NC,-526,-831.5,,,
D3.28,NC,-403.81,-833.36,,,
D3.29,NC,-520,-756.5,,,
D3.30,NC,-513.11,-675.81,,,
D3.31,NC,-519.08,-63.93,,,
D3.32,NC,-519.08,11.07,,,
D3.33,NC,347.5,-828.5,,,
D3.34,NC,422.5,-828.5,,,
