PIN_NUM,DIE_NUM,PIN_NAME,PIN_LOCA,DIE_LOCA,,,,,,,,,,,
1,103,SCL_MS,L,T,,,,,,,,,,,
2,104,SDA_MS,L,T,,,,,,,,,,,
3,105,BIST,L,T,,,,,,,,,,,
4,106,GPIO1,L,T,,,,,,,,,,,
,107,GND,,T,,,,,,,,,,,
,107,GND,,T,,,,,,,,,,,
(D1.77),1,,,L,,,,,,,,,,,
5,2,VDD33,L,L,,,,,,,,,,,
0,0,GND,,L,,,,,,,,,,,
0,0,GND,,L,,,,,,,,,,,
0,0,GND,,L,,,,,,,,,,,
6,4,RX_A0N,L,L,,,,,,,,,,,
7,5,RX_A0P,L,L,,,,,,,,,,,
8,6,RX_A1N,L,L,,,,,,,,,,,
9,7,RX_A1P,L,L,,,,,,,,,,,
10,8,RX_A2N,L,L,,,,,,,,,,,
11,9,RX_A2P,L,L,,,,,,,,,,,
12,10,RX_ACLKN,L,L,,,,,,,,,,,
13,11,RX_ACLKP,B,L,,,,,,,,,,,
14,12,RX_A3N,B,L,,,,,,,,,,,
15,13,RX_A3P,B,L,,,,,,,,,,,
0,0,GND,,L,,,,,,,,,,,
0,0,GND,,L,,,,,,,,,,,
0,0,GND,,L,,,,,,,,,,,
16,17,VDD33,B,L,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,19,,,B,,,,,,,,,,,
16,20,VDD33,B,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
17,0,DOWNBOND,,,,,,,,,,,,,
0,22,,,B,,,,,,,,,,,
0,23,,,B,,,,,,,,,,,
0,24,,,B,,,,,,,,,,,
0,25,,,B,,,,,,,,,,,
0,26,,,B,,,,,,,,,,,
0,27,,,B,,,,,,,,,,,
0,28,,,B,,,,,,,,,,,
0,29,,,B,,,,,,,,,,,
0,30,,,B,,,,,,,,,,,
0,31,,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
D1.77,33,,,B,,,,,,,,,,,
D1.77,33,,,B,,,,,,,,,,,
0,34,,,B,,,,,,,,,,,
D1.67,35,,,B,,,,,,,,,,,
D1.67,35,,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,37,,,B,,,,,,,,,,,
18,38,GPIO2,B,B,,,,,,,,,,,
19,39,GPIO3,B,B,,,,,,,,,,,
20,40,GPIO4,B,B,,,,,,,,,,,
0,0,GND,,B,,,,,,,,,,,
0,42,,,B,,,,,,,,,,,
D1.61,43,,,B,,,,,,,,,,,
21,44,TX_A0P,B,R,,,,,,,,,,,
0,45,,,R,,,,,,,,,,,
22,46,TX_A0N,B,R,,,,,,,,,,,
0,47,,,R,,,,,,,,,,,
0,0,GND,,R,,,,,,,,,,,
23,49,TX_A1P,B,R,,,,,,,,,,,
24,50,TX_A1N,B,R,,,,,,,,,,,
0,51,,,R,,,,,,,,,,,
0,0,GND,,R,,,,,,,,,,,
25,53,TX_A2P,R,R,,,,,,,,,,,
26,54,TX_A2N,R,R,,,,,,,,,,,
0,55,,,R,,,,,,,,,,,
0,0,GND,,R,,,,,,,,,,,
27,57,TX_A3P,R,R,,,,,,,,,,,
28,58,TX_A3N,R,R,,,,,,,,,,,
0,59,,,R,,,,,,,,,,,
0,60,,,R,,,,,,,,,,,
29,61,TX_A4P,R,R,,,,,,,,,,,
30,62,TX_A4N,R,R,,,,,,,,,,,
0,63,,,R,,,,,,,,,,,
0,64,,,R,,,,,,,,,,,
31,66,TX_A5P,R,R,,,,,,,,,,,
32,65,TX_A5N,R,R,,,,,,,,,,,
0,0,GND,,R,,,,,,,,,,,
0,68,,,R,,,,,,,,,,,
33,70,TX_A6P,R,R,,,,,,,,,,,
34,69,TX_A6N,R,R,,,,,,,,,,,
0,0,GND,,R,,,,,,,,,,,
0,72,,,R,,,,,,,,,,,
0,73,,,R,,,,,,,,,,,
0,74,,,R,,,,,,,,,,,
0,75,,,R,,,,,,,,,,,
0,76,,,R,,,,,,,,,,,
35,0,NC,R,R,,,,,,,,,,,
36,77,VDD33,R,R,,,,,,,,,,,
(D1.26),78,,,T,,,,,,,,,,,
0,79,,,T,,,,,,,,,,,
0,0,GND,,T,,,,,,,,,,,
36,81,VDD33,R,T,,,,,,,,,,,
0,82,,,T,,,,,,,,,,,
37,83,GPIO5,T,T,,,,,,,,,,,
(D1.18),84,,,T,,,,,,,,,,,
38,84,VDD33,T,T,,,,,,,,,,,
(D1.18),84,,,T,,,,,,,,,,,
37,85,GPIO5,T,T,,,,,,,,,,,
38,86,VDD33,T,T,,,,,,,,,,,
0,0,GND,,T,,,,,,,,,,,
0,0,GND,,T,,,,,,,,,,,
0,88,,,T,,,,,,,,,,,
0,89,,,T,,,,,,,,,,,
39,90,GPIO6,T,T,,,,,,,,,,,
40,91,GPIO7,T,T,,,,,,,,,,,
