PROJECT NO  : PRJ8803_QFN56_GPIO,,,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,,,,
DIE_SIZE : 3164x4304,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,X_COORD,Y_COORD,X_LEN,Y_LEN
0,,D1.1,GND_APR%C%U_PAD_GNDA_1,,B,L,G,,,,45.3,60,58,118
0,,D1.1,GND_APR%C%U_PAD_GNDA_1,-,B,L,G,,,,45.3,60,58,118
0,,D1.2,GND_OSC%C%U_PAD_GNDA_OSC,-,,L,G,,,OSC,45.3,2599,58,58
1,VDD33_ANA,D1.3,VDD33_OSC%IO%U_PAD_VDDA33_OSC,-,B,L,P,,,OSC,45.3,2539,58,58
1,VDD33_ANA,D1.4,VDD33_PLL%IO%U_PAD_VDDA33_PLL,-,B,L,P,,,PLL,45.3,2479,58,58
0,,D1.5,GND_PLL%C%U_PAD_GNDA_PLL,-,,L,G,,,PLL,45.3,2419,58,58
1,VDD33_ANA,D1.6,PAD_RX_VDDA33,-,B,L,P,,,RX-AIP,39.3,2284.395,74,58
,,D1.7,PAD_RX_VLDO11,-,,L,,,,RX-AIP,39.3,2212.595,74,58
0,,D1.8,PAD_RX_VSSA11,-,,L,G,,,RX-AIP,39.3,1489,74,58
2,MIPI_CSI_RX_L0P,D1.9,MIPI_CSI_RX_L0P,-,B,L,,,,RX-AIP,39.3,2068.4,74,58
3,MIPI_CSI_RX_L0N,D1.10,MIPI_CSI_RX_L0N,-,B,L,,,,RX-AIP,39.3,1994.6,74,58
0,,D1.11,PAD_RX_VSSA11,-,,L,G,,,RX-AIP,39.3,2140,74,58
4,MIPI_CSI_RX_L1P,D1.12,MIPI_CSI_RX_L1P,-,B,L,,,,RX-AIP,39.3,1851.4,74,58
5,MIPI_CSI_RX_L1N,D1.13,MIPI_CSI_RX_L1N,-,B,L,,,,RX-AIP,39.3,1777.6,74,58
0,,D1.14,PAD_RX_VSSA11,-,,L,G,,,RX-AIP,39.3,1923,74,58
6,MIPI_CSI_RX_CLKP,D1.15,MIPI_CSI_RX_CLKP,-,B,L,,,,RX-AIP,39.3,1634.4,74,58
7,MIPI_CSI_RX_CLKN,D1.16,MIPI_CSI_RX_CLKN,-,B,L,,,,RX-AIP,39.3,1560.6,74,58
0,,D1.17,PAD_RX_VSSA11,-,,L,G,,,RX-AIP,39.3,1706,74,58
8,VDD11,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,-,B,L,P,,,,71.3,1400,110,118
8,VDD11,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,-,B,L,P,,,,71.3,1400,110,118
,,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,,,,,,,,71.3,1400,110,118
,,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,-,,L,P,,,,71.3,1400,110,118
0,,D1.19,GND_APR%C%U_PAD_GNDA_2,-,,L,G,,,LDO,3114.7,3140,58,118
0,,D1.19,GND_APR%C%U_PAD_GNDA_2,-,,L,G,,,,1520,4254.7,118,58
8,VDD11,D1.20,VDD11_APR%IO%U_PAD_VDDD11_2,-,B,L,P,,,,45.3,1190,58,58
,,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,,L,P,,,,71.3,1100,110,118
,,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,,L,P,,,RTC,71.3,1100,110,118
9,VDD33,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,B,L,P,,,RTC,71.3,1100,110,118
9,VDD33,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,B,L,P,,,RTC,71.3,1100,110,118
0,,D1.22,GND_APR%C%U_PAD_GNDA_3,-,,L,G,,,RTC,1520,4254.7,118,58
0,,D1.22,GND_APR%C%U_PAD_GNDA_3,-,,L,G,,,RTC,840,4254.7,118,58
10,BOOT0_PIO_0,D1.23,PIO_0,-,B,L,,,,RTC,45.3,885,64.52,54
11,BOOT1_PIO_1,D1.24,PIO_1,-,B,L,,,,RTC,45.3,815,64.52,54
12,BOOT2_PIO_2,D1.25,PIO_2,-,B,L,,,,RTC,45.3,745,64.52,54
13,TEST,D1.26,TEST,-,B,L,,,,RTC,45.3,675,64.52,54
14,RESETN,D1.27,RESETN,-,B,L,,,,RTC,45.3,605,64.52,54
15,LDO_EN,D1.28,LDO_EN,-,R,L,,,,RTC,45.3,545,64.52,54
16,PIO_3,D1.29,PIO_3,-,R,L,,,,RTC,45.3,485,64.52,54
17,PIO_4,D1.30,PIO_4,-,R,L,,,,RTC,45.3,415,64.52,54
18,PIO_5,D1.31,PIO_5,-,R,L,,,,,45.3,345,64.52,54
19,PIO_6,D1.32,PIO_6,-,R,L,,,,,45.3,275,64.52,54
0,,D1.33,GND_APR%C%U_PAD_GNDA_4,-,,L,G,,,,840,4254.7,118,58
0,,D1.33,GND_APR%C%U_PAD_GNDA_4,-,,L,G,,,,600,4254.7,118,58
0,,D1.34,GND_APR%C%U_PAD_GNDA_5,-,,L,G,,,,600,4254.7,118,58
0,,D1.34,GND_APR%C%U_PAD_GNDA_5,-,,L,G,,,,60,4254.7,118,58
0,,D1.35,GND_APR%C%U_PAD_GNDA_6,-,,L,G,,,,60,4254.7,118,58
0,,D1.35,GND_APR%C%U_PAD_GNDA_6,-,,B,G,,,,45.3,2689,58,118
20,VBAT,D1.36,VDD33_BAT%IO%U_PAD_VDDA33_BAT,-,R,B,P,,,,241.1,45.3,58,58
,,D1.37,VBAT_PIO_0,-,,B,,,,,306.1,45.3,54,64.52
,,D1.38,VBAT_PIO_1,-,,B,,,,,376.1,45.3,54,64.52
,,D1.39,VBAT_PIO_2,-,,B,,,,,446.1,45.3,54,64.52
21,VBAT_PIO_0,D1.40,VBAT_PIO_3,-,R,B,,,,,516.1,45.3,54,64.52
22,VBAT_PIO_1,D1.41,VBAT_PIO_4,-,R,B,,,,,586.1,45.3,54,64.52
,,D1.42,VBAT_PIO_5,-,,B,,,,,656.1,45.3,54,64.52
,,D1.43,VBAT_PIO_6,-,,B,,,,,726.1,45.3,54,64.52
23,VBAT_PIO_2,D1.44,VBAT_PIO_7,-,R,B,,,,,796.1,45.3,54,64.52
0,,D1.45,GND_XTAL%C%U_PAD_GNDA_XTAL,-,,B,G,,,,861.1,45.3,58,58
23,VBAT_PIO_2,D1.46,LEXT_IN,-,R,B,,,,,981.1,45.8,58,59
24,VBAT_PIO_3,D1.47,LEXT_OUT,-,R,B,,,,,921.1,45.8,58,59
24,VBAT_PIO_3,D1.48,VBAT_PIO_8,-,R,B,,,,,1046.1,45.3,54,64.52
0,,D1.49,GND_APR%C%U_PAD_GNDA_7,-,,B,G,,,,45.3,2689,58,118
0,,D1.49,GND_APR%C%U_PAD_GNDA_7,-,,B,G,,,,45.3,1280,58,118
D1.21,,D1.50,VDD33%IO%U_PAD_VDDA33_1,-,,B,P,,,,750,4254.7,58,58
,,D1.51,PAD_RESB,-,,B,,,,,1299.9,200.55,58,96
,,D1.51,PAD_RESB,-,,B,,,,,1299.9,200.55,58,96
,,D1.52,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,1359.9,200.55,58,96
,,D1.52,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP,1359.9,200.55,58,96
,,D1.54,PAD_DDR_VDDA33,-,,B,,,,PSRAM-AIP,1811.9,42.75,118,58
