PROJECT NO : PRJ8803_QFN56_GPIO,,,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,,,,
PKG_SIZE : 6000x6000,,,,,,,,,,,,,,
DIE_SIZE : 3160x4300,,,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,X_COORD,Y_COORD,X_LEN,Y_LEN
0,-,1,GND_APR%C%U_PAD_GNDA_1,U_PAD_GNDA_1,B,L,G,-,-,-,45.3,3946.405,58,118
0,-,1,GND_APR%C%U_PAD_GNDA_1,U_PAD_GNDA_1,B,L,G,-,-,-,45.3,3946.405,58,118
0,-,2,GND_OSC%C%U_PAD_GNDA_OSC,U_PAD_GNDA_OSC,-,L,G,-,-,OSC,45.3,3856.405,58,58
1,VDD33_ANA,3,VDD33_OSC%IO%U_PAD_VDDA33_OSC,U_PAD_VDDA33_OSC,L,L,P,-,-,OSC,71.3,3796.405,110,58
1,VDD33_ANA,4,VDD33_PLL%IO%U_PAD_VDDA33_PLL,U_PAD_VDDA33_PLL,L,L,P,-,-,PLL,71.3,3736.405,110,58
0,-,5,GND_PLL%C%U_PAD_GNDA_PLL,U_PAD_GNDA_PLL,-,L,G,-,-,PLL,45.3,3676.405,58,58
1,VDD33_ANA,6,PAD_RX_VDDA33,-,L,L,P,-,-,RX-AIP,39.3,3541.8,74,58
0,-,7,PAD_RX_VLDO11,-,-,L,-,-,-,RX-AIP,39.3,3470,74,58
0,-,8,PAD_RX_VSSA11,-,-,L,G,-,-,RX-AIP,39.3,3397.405,74,58
2,MIPI_CSI_RX_L0P,9,MIPI_CSI_RX_L0P,-,L,L,-,-,-,RX-AIP,39.3,3325.805,74,58
3,MIPI_CSI_RX_L0N,10,MIPI_CSI_RX_L0N,-,L,L,-,-,-,RX-AIP,39.3,3252.005,74,58
0,-,11,PAD_RX_VSSA11,-,-,L,G,-,-,RX-AIP,39.3,3180.405,74,58
4,MIPI_CSI_RX_L1P,12,MIPI_CSI_RX_L1P,-,L,L,-,-,-,RX-AIP,39.3,3108.805,74,58
5,MIPI_CSI_RX_L1N,13,MIPI_CSI_RX_L1N,-,L,L,-,-,-,RX-AIP,39.3,3035.005,74,58
0,-,14,PAD_RX_VSSA11,-,-,L,G,-,-,RX-AIP,39.3,2963.405,74,58
