PRODUCTION NO  : PRJ8803_QFN40,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 40QFN 10 10 10 10,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
40,VDD33_ANA,1,PAD_RX_VDDA33,-,T,L,P,,,RX
,,2,PAD_RX_VLDO11,-,,L,P,,,RX
,,3,PAD_RX_VSSA11,-,,L,G,,,RX
1,MIPI_CSI_RX_L0P,4,MIPI_CSI_RX_L0P,-,L,L,,,,RX
2,MIPI_CSI_RX_L0N,5,MIPI_CSI_RX_L0N,-,L,L,,,,RX
,,6,PAD_RX_VSSA11,-,,L,G,,,RX
3,MIPI_CSI_RX_L1P,7,MIPI_CSI_RX_L1P,-,L,L,,,,RX
4,MIPI_CSI_RX_L1N,8,MIPI_CSI_RX_L1N,-,L,L,,,,RX
,,9,PAD_RX_VSSA11,-,,L,G,,,RX
5,MIPI_CSI_RX_CLKP,10,MIPI_CSI_RX_CLKP,-,L,L,,,,RX
6,MIPI_CSI_RX_CLKN,11,MIPI_CSI_RX_CLKN,-,L,L,,,,RX
,,12,PAD_RX_VSSA11,-,,L,G,,,RX
7,VDD11,13,,-,L,L,P,,,
8,VDD33,14,VDD33_IOB,-,L,L,P,,,
9,BOOT0_PIO_0,15,PAD_VTEST,-,L,L,,,,
9,BOOT0_PIO_0,16,PIO_0,-,L,L,,,,
10,BOOT1_PIO_1,17,PIO_1,-,L,L,,,,
11,BOOT2_PIO_2,18,PIO_2,-,B,L,,,,
12,TEST,19,TEST,-,B,B,,,,
13,RESETN,20,RESETN,-,B,B,,,,
14,LDO_EN,21,LDO_EN,-,B,B,,,,LDO
15,PIO_3,22,PIO_3,-,B,B,,,,
16,PIO_4,23,PIO_4,-,B,B,,,,
17,PIO_5,24,PIO_5,-,B,B,,,,
18,PIO_6,25,PIO_6,-,B,B,,,,
,,26,VDD33_BAT,-,,B,P,,,RTC
,,27,VBAT_PIO_0,-,,B,,,,RTC
,,28,VBAT_PIO_1,-,,B,,,,RTC
,,29,VBAT_PIO_2,-,,B,,,,RTC
,,30,VBAT_PIO_3,-,,B,,,,RTC
,,31,VBAT_PIO_4,-,,B,,,,RTC
,,32,VBAT_PIO_5,-,,B,,,,RTC
,,33,VBAT_PIO_6,-,,B,,,,RTC
,,34,VBAT_PIO_7,-,,B,,,,RTC
,,35,GND_XTAL,-,,B,G,,,RTC
,,36,LEXT_IN,-,,B,,,,RTC
,,37,LEXT_OUT,-,,B,,,,RTC
,,38,VBAT_PIO_8,-,,B,,,,RTC
,,39,PIO_7,-,,B,,,,
,,40,PIO_8,-,,B,,,,
,,41,PIO_9,-,,B,,,,
,,42,PIO_10,-,,B,,,,
,,43,PIO_11,-,,B,,,,
19,PIO_7,44,PIO_12,-,B,B,,,,
,,45,PIO_13,-,,B,,,,
,,46,PIO_14,-,,B,,,,
,,47,PIO_15,-,,B,,,,
,,48,PIO_16,-,,B,,,,
,,49,PIO_17,-,,B,,,,
,,50,PAD_DDR_VDDA33,-,,R,P,,,PSRAM
,,51,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,52,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,53,PAD_CKB,-,,R,,,,PSRAM
,,54,PAD_CK,-,,R,,,,PSRAM
,,55,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,56,PAD_CEB,-,,R,,,,PSRAM
,,57,PAD_LDM,-,,R,,,,PSRAM
,,58,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,59,PAD_DQSB,-,,R,,,,PSRAM
,,60,PAD_DQS,-,,R,,,,PSRAM
,,61,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,62,PAD_DQ7,-,,R,,,,PSRAM
,,63,PAD_DQ6,-,,R,,,,PSRAM
,,64,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,65,PAD_DQ5,-,,R,,,,PSRAM
,,66,PAD_DQ4,-,,R,,,,PSRAM
,,67,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,68,PAD_CK_LS,-,,R,,,,PSRAM
,,69,PAD_CKB_LS,-,,R,,,,PSRAM
,,70,PAD_CEB_LS,-,,R,,,,PSRAM
,,71,PAD_DQ3,-,,R,,,,PSRAM
,,72,PAD_DQ2,-,,R,,,,PSRAM
,,73,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,74,PAD_DQ1,-,,R,,,,PSRAM
,,75,PAD_DQ0,-,,R,,,,PSRAM
,,76,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,77,PAD_RESB,-,,R,,,,PSRAM
20,PIO_8,78,PIO_18,-,B,R,,,,
21,PIO_9,79,PIO_19,-,R,R,,,,
22,PIO_10,80,PIO_20,-,R,R,,,,
23,PIO_11,81,PIO_21,-,R,R,,,,
24,PIO_12,82,PIO_22,-,R,R,,,,
25,PIO_13,83,PIO_23,-,R,R,,,,
26,VDD11,84,,-,R,R,,,,
27,PIO_14,85,PIO_24,-,R,R,,,,
28,PIO_15,86,PIO_25,-,R,R,,,,
29,PIO_16,87,PIO_26,-,R,R,,,,
30,PIO_17,88,PIO_27,-,R,R,,,,
31,PIO_18,89,PIO_28,-,T,R,,,,
32,PIO_19,90,PIO_29,-,T,R,,,,
33,PIO_20,91,PIO_30,-,T,T,,,,
34,PIO_21,92,PIO_31,-,T,T,,,,
35,AGND,93,PAD_AUDIO_VSS33,-,T,T,G,,,AUDIO_CODEC
36,LOUT,94,PAD_AUDIO_LOUT,-,T,T,,,,AUDIO_CODEC
37,MICBIAS,95,PAD_AUDIO_MICBIAS,-,T,T,,,,AUDIO_CODEC
38,MICIN,96,PAD_AUDIO_IN,-,T,T,,,,AUDIO_CODEC
39,VDD33_DAC,97,PAD_AUDIO_VDD33,-,T,T,P,,,AUDIO_CODEC
,,98,QSPI0_WP,-,,T,,,,FLASH
,,99,QSPI0_DO,-,,T,,,,FLASH
,,100,QSPI0_CS,-,,T,,,,FLASH
39,VDD33_DAC,101,VDD33_FLS,-,T,T,P,,,FLASH
,,102,QSPI0_HOLD,-,,T,,,,FLASH
,,103,QSPI0_CLK,-,,T,,,,FLASH
,,104,QSPI0_DI,-,,T,,,,FLASH
,,105,GND_OSC,-,,T,P,,,OSC
40,VDD33_ANA,106,VDD33_OSC,-,T,T,P,,,OSC
40,VDD33_ANA,107,VDD33_PLL,-,T,T,P,,,PLL
,,108,GND_PLL,-,,T,G,,,PLL
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Inner_bond,,1,I0 (X.Y),I1 (X.Y),,,,,,
Inner_bond,,2,I2 (X.Y),(X.Y),,,,,,
Inner_bond,,3,(X.Y),(X.Y),,,,,,
Inner_bond,,4,(X.Y),(X.Y),,,,,,
Inner_bond,,5,(X.Y),(X.Y),,,,,,
Inner_bond,,6,(X.Y),(X.Y),,,,,,
Inner_bond,,7,(X.Y),(X.Y),,,,,,
Inner_bond,,8,(X.Y),(X.Y),,,,,,
