PRODUCTION NO  : PRJ8803_QFN40_pg,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 40QFN 10 10 10 10,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
40,VDD33_ANA,1,PAD_RX_VDDA33,-,T,L,P,,,RX
,,2,PAD_RX_VLDO11,-,,L,P,,,RX
0,,3,PAD_RX_VSSA11,-,,L,G,,,RX
1,MIPI_CSI_RX_L0P,4,MIPI_CSI_RX_L0P,-,L,L,,,,RX
2,MIPI_CSI_RX_L0N,5,MIPI_CSI_RX_L0N,-,L,L,,,,RX
0,,6,PAD_RX_VSSA11,-,,L,G,,,RX
3,MIPI_CSI_RX_L1P,7,MIPI_CSI_RX_L1P,-,L,L,,,,RX
4,MIPI_CSI_RX_L1N,8,MIPI_CSI_RX_L1N,-,L,L,,,,RX
0,,9,PAD_RX_VSSA11,-,,L,G,,,RX
5,MIPI_CSI_RX_CLKP,10,MIPI_CSI_RX_CLKP,-,L,L,,,,RX
6,MIPI_CSI_RX_CLKN,11,MIPI_CSI_RX_CLKN,-,L,L,,,,RX
0,,12,PAD_RX_VSSA11,-,,L,G,,,RX
7,VDD11,13,VDD11_APR%C%U_PAD_VDDD11_0,-,L,L,P,,,
(D1.49),,13,VDD11_APR%C%U_PAD_VDDD11_0,-,L,L,P,,,
8,VDD33,15,VDD33_IOB%IO%U_PAD_VDDA33_0,-,L,L,P,,,
(D1.43),,15,VDD33_IOB%IO%U_PAD_VDDA33_0,-,L,L,P,,,
9,BOOT0_PIO_0,17,PAD_VTEST,-,L,L,,,,
9,BOOT0_PIO_0,18,PIO_0,-,L,L,,,,
10,BOOT1_PIO_1,19,PIO_1,-,L,L,,,,
11,BOOT2_PIO_2,20,PIO_2,-,B,L,,,,
12,TEST,21,TEST,-,B,B,,,,
13,RESETN,22,RESETN,-,B,B,,,,
14,LDO_EN,23,LDO_EN,-,B,B,,,,LDO
15,PIO_3,24,PIO_3,-,B,B,,,,
16,PIO_4,25,PIO_4,-,B,B,,,,
17,PIO_5,26,PIO_5,-,B,B,,,,
18,PIO_6,27,PIO_6,-,B,B,,,,
0,,28,GND_APR%C%U_PAD_GNDD_0,,B,B,G,,,
0,,29,GND_APR%C%U_PAD_GNDD_1,,B,B,G,,,
,,30,VDD33_BAT,-,,B,P,,,RTC
,,31,VBAT_PIO_0,-,,B,,,,RTC
,,32,VBAT_PIO_1,-,,B,,,,RTC
,,33,VBAT_PIO_2,-,,B,,,,RTC
,,34,VBAT_PIO_3,-,,B,,,,RTC
,,35,VBAT_PIO_4,-,,B,,,,RTC
,,36,VBAT_PIO_5,-,,B,,,,RTC
,,37,VBAT_PIO_6,-,,B,,,,RTC
,,38,VBAT_PIO_7,-,,B,,,,RTC
,,39,GND_XTAL,-,,B,G,,,RTC
,,40,LEXT_IN,-,,B,,,,RTC
,,41,LEXT_OUT,-,,B,,,,RTC
,,42,VBAT_PIO_8,-,,B,,,,RTC
D1.15,,43,VDD33_IOR%IO%U_PAD_VDDA33_2,-,,B,P,,,
,,43,VDD33_IOR%IO%U_PAD_VDDA33_2,-,,B,P,,,
,,45,PIO_7,-,,B,,,,
,,46,PIO_8,-,,B,,,,
,,47,PIO_9,-,,B,,,,
,,48,PIO_10,-,,B,,,,
D1.13,,49,VDD11_APR%C%U_PAD_VDDD11_2,-,B,B,P,,,
0,,50,GND_APR%C%U_PAD_GNDD_2,,B,B,G,,,
,,51,PIO_11,-,,B,,,,
19,PIO_7,52,PIO_12,-,B,B,,,,
,,53,PIO_13,-,,B,,,,
,,54,PIO_14,-,,R,,,,
,,55,PIO_15,-,,R,,,,
,,56,PIO_16,-,,R,,,,
,,57,PIO_17,-,,R,,,,
,,58,PAD_DDR_VDDA33,-,,R,P,,,PSRAM
,,59,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,60,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,61,PAD_CKB,-,,R,,,,PSRAM
,,62,PAD_CK,-,,R,,,,PSRAM
,,63,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,64,PAD_CEB,-,,R,,,,PSRAM
,,65,PAD_LDM,-,,R,,,,PSRAM
,,66,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,67,PAD_DQSB,-,,R,,,,PSRAM
,,68,PAD_DQS,-,,R,,,,PSRAM
,,69,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,70,PAD_DQ7,-,,R,,,,PSRAM
,,71,PAD_DQ6,-,,R,,,,PSRAM
,,72,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,73,PAD_DQ5,-,,R,,,,PSRAM
,,74,PAD_DQ4,-,,R,,,,PSRAM
,,75,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,76,PAD_CK_LS,-,,R,,,,PSRAM
,,77,PAD_CKB_LS,-,,R,,,,PSRAM
,,78,PAD_CEB_LS,-,,R,,,,PSRAM
,,79,PAD_DQ3,-,,R,,,,PSRAM
,,80,PAD_DQ2,-,,R,,,,PSRAM
,,81,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,82,PAD_DQ1,-,,R,,,,PSRAM
,,83,PAD_DQ0,-,,R,,,,PSRAM
,,84,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,85,PAD_RESB,-,,R,,,,PSRAM
,,86,VDD33_IOR%IO%U_PAD_VDDA33_3,-,R,R,P,,,
20,PIO_8,87,PIO_18,-,B,R,,,,
21,PIO_9,88,PIO_19,-,R,R,,,,
22,PIO_10,89,PIO_20,-,R,R,,,,
23,PIO_11,90,PIO_21,-,R,R,,,,
24,PIO_12,91,PIO_22,-,R,R,,,,
25,PIO_13,92,PIO_23,-,R,R,,,,
26,VDD11,93,VDD11_APR%C%U_PAD_VDDD11_3,-,R,R,P,,,
26,VDD11,94,VDD11_APR%C%U_PAD_VDDD11_4,-,R,R,P,,,
27,PIO_14,95,PIO_24,-,R,R,,,,
28,PIO_15,96,PIO_25,-,R,R,,,,
29,PIO_16,97,PIO_26,-,R,T,,,,
30,PIO_17,98,PIO_27,-,R,T,,,,
31,PIO_18,99,PIO_28,-,T,T,,,,
32,PIO_19,100,PIO_29,-,T,T,,,,
33,PIO_20,101,PIO_30,-,T,T,,,,
34,PIO_21,102,PIO_31,-,T,T,,,,
0,,103,GND_APR%C%U_PAD_GNDD_3,-,T,T,G,,,
0,,104,GND_APR%C%U_PAD_GNDD_4,-,T,T,G,,,
35,AGND,105,PAD_AUDIO_VSS33,-,T,T,G,,,AUDIO_CODEC
36,LOUT,106,PAD_AUDIO_LOUT,-,T,T,,,,AUDIO_CODEC
37,MICBIAS,107,PAD_AUDIO_MICBIAS,-,T,T,,,,AUDIO_CODEC
38,MICIN,108,PAD_AUDIO_IN,-,T,T,,,,AUDIO_CODEC
39,VDD33_DAC,109,PAD_AUDIO_VDD33,-,T,T,P,,,AUDIO_CODEC
,,110,QSPI0_WP,-,,T,,,,FLASH
,,111,QSPI0_DO,-,,T,,,,FLASH
,,112,QSPI0_CS,-,,T,,,,FLASH
39,VDD33_DAC,113,VDD33_FLS,-,T,T,P,,,FLASH
,,114,QSPI0_HOLD,-,,T,,,,FLASH
,,115,QSPI0_CLK,-,,T,,,,FLASH
,,116,QSPI0_DI,-,,T,,,,FLASH
,,117,GND_OSC,-,,T,P,,,OSC
40,VDD33_ANA,118,VDD33_OSC,-,T,T,P,,,OSC
40,VDD33_ANA,119,VDD33_PLL,-,T,T,P,,,PLL
0,,120,GND_PLL,-,,T,G,,,PLL
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Inner_bond,,1,I0 (X.Y),I1 (X.Y),,,,,,
Inner_bond,,2,I2 (X.Y),(X.Y),,,,,,
Inner_bond,,3,(X.Y),(X.Y),,,,,,
Inner_bond,,4,(X.Y),(X.Y),,,,,,
Inner_bond,,5,(X.Y),(X.Y),,,,,,
Inner_bond,,6,(X.Y),(X.Y),,,,,,
Inner_bond,,7,(X.Y),(X.Y),,,,,,
Inner_bond,,8,(X.Y),(X.Y),,,,,,
