PRODUCTION NO  : PRJ8028_QFN48_TEST,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,
PACKAGE : 48QFN 12 12 12 12,,,,,,,,,,,,
VERSION : V1.0_20240418,,,,,,,,,,,,
DIE_SIZE : 2414x1415,,,,,,,,,,,,
,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,,
1,SCL,103,SCL,-,L,T,-,-,-,-,,
2,SDA,104,SDA,-,L,T,-,-,-,-,,
3,BIST,105,BIST,-,L,T,-,-,-,-,,
4,DOWNBOND,106,GPIO16,-,L,T,-,-,-,-,,
0,,107,GND%C%U_AIP_TOP/U_GND_APR8,-,-,T,G,-,-,-,,
0,VDD33,107,GND%C%U_AIP_TOP/U_GND_APR8,-,-,T,G,-,-,-,,
(D1.94),VDD11%C%U_AIP_TOP/U_VDD11_APR5,1,VDD11%C%U_AIP_TOP/U_VDD11_APR5,-,-,L,P,-,-,-,,
5,VDD33,2,VDD33%IO%U_AIP_TOP/U_VDD33_INTPLL,-,L,L,P,-,-,-,,
0,,3,VSS33_ESD_RX,-,-,L,G,-,-,RX,X,Y
0,,3,VSS33_ESD_RX,-,-,L,G,-,-,RX,X,Y
0,,3,VSS33_ESD_RX,-,-,L,G,-,-,RX,X,Y
6,PAD_RX_IN0_P1,4,PAD_RX_IN0_P1,-,L,L,-,-,-,RX,,
7,PAD_RX_IP0_P1,5,PAD_RX_IP0_P1,-,L,L,-,-,-,RX,,
8,PAD_RX_IN1_P1,6,PAD_RX_IN1_P1,-,L,L,-,-,-,RX,,
9,PAD_RX_IP1_P1,7,PAD_RX_IP1_P1,-,L,L,-,-,-,RX,,
10,PAD_RX_IN2_P1,8,PAD_RX_IN2_P1,-,L,L,-,-,-,RX,,
11,PAD_RX_IP2_P1,9,PAD_RX_IP2_P1,-,L,L,-,-,-,RX,,
12,PAD_RX_CKN_P1,10,PAD_RX_CKN_P1,-,L,L,-,-,-,RX,,
13,PAD_RX_CKP_P1,11,PAD_RX_CKP_P1,-,B,L,-,-,-,RX,,
14,PAD_RX_IN3_P1,12,PAD_RX_IN3_P1,-,B,L,-,-,-,RX,,
15,PAD_RX_IP3_P1,13,PAD_RX_IP3_P1,-,B,L,-,-,-,RX,,
0,,14,VSS33_ESD_RX,-,-,L,G,-,-,RX,,
0,,14,VSS33_ESD_RX,-,-,L,G,-,-,RX,,
0,,14,VSS33_ESD_RX,-,-,L,G,-,-,RX,,
16,PAD_RX_VDDA33,17,PAD_RX_VDDA33,-,B,L,P,-,-,RX,,
0,,18,VSS33_ESD_RX,-,-,B,G,-,-,RX,,
0,,18,VSS33_ESD_RX,-,-,B,G,-,-,RX,,
0,,18,VSS33_ESD_RX,-,-,B,G,-,-,RX,,
0,,19,PAD_RX_VDDA33,-,-,B,P,-,-,RX,,
16,PAD_RX_VDDA33,20,PAD_RX_VDDA33,-,B,B,P,-,-,RX,,
0,,21,VSS33_ESD_RX,-,-,B,G,-,-,RX,,
0,,21,VSS33_ESD_RX,-,-,B,G,-,-,RX,,
0,,21,VSS33_ESD_RX,-,-,B,G,-,-,RX,,
17,DOWNBOND,0,DOWNBOND,-,B,-,G,-,-,RX,,
0,,22,PAD_RX_IN0_P2,-,-,B,-,-,-,RX,,
0,,23,PAD_RX_IP0_P2,-,-,B,-,-,-,RX,,
0,,24,PAD_RX_IN1_P2,-,-,B,-,-,-,RX,,
0,,25,PAD_RX_IP1_P2,-,-,B,-,-,-,RX,,
0,,26,PAD_RX_IN2_P2,-,-,B,-,-,-,RX,,
0,,27,PAD_RX_IP2_P2,-,-,B,-,-,-,RX,,
0,,28,PAD_RX_CKN_P2,-,-,B,-,-,-,RX,,
