PROJECT NO  : PRJ8803_QFN56_GPIO_PG,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
1,VDD33_ANA,1,PAD_RX_VDDA33,-,L,L,P,,,RX
0,,2,PAD_RX_VLDO11,-,,L,P,,,RX
0,,3,PAD_RX_VSSA11,-,,L,G,,,RX
2,MIPI_CSI_RX_L0P,4,MIPI_CSI_RX_L0P,-,L,L,,,,RX
3,MIPI_CSI_RX_L0N,5,MIPI_CSI_RX_L0N,-,L,L,,,,RX
0,,6,PAD_RX_VSSA11,-,,L,G,,,RX
4,MIPI_CSI_RX_L1P,7,MIPI_CSI_RX_L1P,-,L,L,,,,RX
5,MIPI_CSI_RX_L1N,8,MIPI_CSI_RX_L1N,-,L,L,,,,RX
0,,9,PAD_RX_VSSA11,-,,L,G,,,RX
6,MIPI_CSI_RX_CLKP,10,MIPI_CSI_RX_CLKP,-,L,L,,,,RX
7,MIPI_CSI_RX_CLKN,11,MIPI_CSI_RX_CLKN,-,L,L,,,,RX
0,,12,PAD_RX_VSSA11,-,,L,G,,,RX
8,VDD11,13,VDD11_APR%C%U_PAD_VDDD11_1,-,L,L,P,,,
D1.40,,13,VDD11_APR%C%U_PAD_VDDD11_1,-,L,L,P,,,
9,VDD33,14,VDD33_IOB%IO%U_PAD_VDDA33_1,-,L,L,P,,,
9,VDD33,14,VDD33_IOB%IO%U_PAD_VDDA33_1,-,L,L,P,,,
0,,15,GND_APR%IO%U_PAD_GNDA_1,-,L,L,G,,,
0,,15,GND_APR%IO%U_PAD_GNDA_1,-,L,L,G,,,
10,BOOT0_PIO_0,16,PAD_VTEST,-,L,L,,,,
10,BOOT0_PIO_0,17,PIO_0,-,L,L,,,,
11,BOOT1_PIO_1,18,PIO_1,-,L,L,,,,
12,BOOT2_PIO_2,19,PIO_2,-,L,L,,,,
13,TEST,20,TEST,-,L,B,,,,
14,RESETN,21,RESETN,-,L,B,,,,
15,LDO_EN,22,LDO_EN,-,B,B,,,,LDO
16,PIO_3,23,PIO_3,-,B,B,,,,
17,PIO_4,24,PIO_4,-,B,B,,,,
18,PIO_5,25,PIO_5,-,B,B,,,,
19,PIO_6,26,PIO_6,-,B,B,,,,
20,VBAT,27,VDD33_BAT,-,B,B,P,,,RTC
,,28,VBAT_PIO_0,-,,B,,,,RTC
,,29,VBAT_PIO_1,-,,B,,,,RTC
,,30,VBAT_PIO_2,-,,B,,,,RTC
21,VBAT_PIO_0,31,VBAT_PIO_3,-,B,B,,,,RTC
22,VBAT_PIO_1,32,VBAT_PIO_4,-,B,B,,,,RTC
,,33,VBAT_PIO_5,-,,B,,,,RTC
,,34,VBAT_PIO_6,-,,B,,,,RTC
23,VBAT_PIO_2,35,VBAT_PIO_7,-,B,B,,,,RTC
0,,36,GND_XTAL,-,,B,G,,,RTC
23,VBAT_PIO_2,37,LEXT_IN,-,B,B,,,,RTC
24,VBAT_PIO_3,38,LEXT_OUT,-,B,B,,,,RTC
24,VBAT_PIO_3,39,VBAT_PIO_8,-,B,B,,,,RTC
(D1.13),,40,VDD11_APR%C%U_PAD_VDDD11_2,-,,B,P,,,
0,,41,GND_APR%IO%U_PAD_GNDA_2,-,,B,G,,,
0,,41,GND_APR%IO%U_PAD_GNDA_2,-,,B,G,,,
25,PIO_7,42,PIO_7,-,B,B,,,,
26,PIO_8,43,PIO_8,-,B,B,,,,
27,PIO_9,44,PIO_9,-,B,B,,,,
28,PIO_10,45,PIO_10,-,B,B,,,,
29,PIO_11,46,PIO_11,-,R,B,,,,
30,PIO_12,47,PIO_12,-,R,B,,,,
31,PIO_13,48,PIO_13,-,R,B,,,,
32,PIO_14,49,PIO_14,-,R,R,,,,
33,PIO_15,50,PIO_15,-,R,R,,,,
