PROJECT NO  : PRJ8803_QFN56_GPIO,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 3870x2844,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
0,,D1.1,GND_APR%C%U_PAD_GNDA_1,-,B,L,G,,,
0,,D1.2,GND_OSC%C%U_PAD_GNDA_OSC,-,,L,G,,,OSC
1,VDD33_ANA,D1.3,VDD33_OSC%IO%U_PAD_VDDA33_OSC,-,B,L,P,,,OSC
1,VDD33_ANA,D1.4,VDD33_PLL%IO%U_PAD_VDDA33_PLL,-,B,L,P,,,PLL
0,,D1.5,GND_PLL%C%U_PAD_GNDA_PLL,-,,L,G,,,PLL
1,VDD33_ANA,D1.6,PAD_RX_VDDA33,-,B,L,P,,,RX-AIP
,,D1.7,PAD_RX_VLDO11,-,,L,,,,RX-AIP
0,,D1.8,PAD_RX_VSSA11,-,,L,G,,,RX-AIP
2,MIPI_CSI_RX_L0P,D1.9,MIPI_CSI_RX_L0P,-,B,L,,,,RX-AIP
3,MIPI_CSI_RX_L0N,D1.10,MIPI_CSI_RX_L0N,-,B,L,,,,RX-AIP
0,,D1.11,PAD_RX_VSSA11,-,,L,G,,,RX-AIP
4,MIPI_CSI_RX_L1P,D1.12,MIPI_CSI_RX_L1P,-,B,L,,,,RX-AIP
5,MIPI_CSI_RX_L1N,D1.13,MIPI_CSI_RX_L1N,-,B,L,,,,RX-AIP
0,,D1.14,PAD_RX_VSSA11,-,,L,G,,,RX-AIP
6,MIPI_CSI_RX_CLKP,D1.15,MIPI_CSI_RX_CLKP,-,B,L,,,,RX-AIP
7,MIPI_CSI_RX_CLKN,D1.16,MIPI_CSI_RX_CLKN,-,B,L,,,,RX-AIP
0,,D1.17,PAD_RX_VSSA11,-,,L,G,,,RX-AIP
8,VDD11,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,-,B,L,P,,,
8,VDD11,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,-,B,L,P,,,
D1.133,,D1.18,VDD11_APR%IO%U_PAD_VDDD11_1,-,,L,P,,,
0,,D1.19,GND_APR%C%U_PAD_GNDA_2,-,,L,G,,,LDO
0,,D1.19,GND_APR%C%U_PAD_GNDA_2,-,,L,G,,,
8,VDD11,D1.20,VDD11_APR%IO%U_PAD_VDDD11_2,-,B,L,P,,,
8,VDD11,D1.20,VDD11_APR%IO%U_PAD_VDDD11_2,-,B,L,P,,,
(D1.50),,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,,L,P,,,
(D1.132),,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,,L,P,,,RTC
9,VDD33,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,B,L,P,,,RTC
9,VDD33,D1.21,VDD33_IOB%IO%U_PAD_VDDA33_IOB,-,B,L,P,,,RTC
0,,D1.22,GND_APR%C%U_PAD_GNDA_3,-,,L,G,,,RTC
0,,D1.22,GND_APR%C%U_PAD_GNDA_3,-,,L,G,,,RTC
10,BOOT0_PIO_0,D1.23,PIO_0,-,B,L,,,,RTC
11,BOOT1_PIO_1,D1.24,PIO_1,-,B,L,,,,RTC
12,BOOT2_PIO_2,D1.25,PIO_2,-,B,L,,,,RTC
13,TEST,D1.26,TEST,-,B,L,,,,RTC
14,RESETN,D1.27,RESETN,-,B,L,,,,RTC
15,LDO_EN,D1.28,LDO_EN,-,R,L,,,,RTC
16,PIO_3,D1.29,PIO_3,-,R,L,,,,RTC
17,PIO_4,D1.30,PIO_4,-,R,L,,,,RTC
18,PIO_5,D1.31,PIO_5,-,R,L,,,,
19,PIO_6,D1.32,PIO_6,-,R,L,,,,
0,,D1.33,GND_APR%C%U_PAD_GNDA_4,-,,L,G,,,
0,,D1.33,GND_APR%C%U_PAD_GNDA_4,-,,L,G,,,
0,,D1.34,GND_APR%C%U_PAD_GNDA_5,-,,L,G,,,
0,,D1.35,GND_APR%C%U_PAD_GNDA_6,-,,B,G,,,
20,VBAT,D1.36,VDD33_BAT%IO%U_PAD_VDDA33_BAT,-,R,B,P,,,
,,D1.37,VBAT_PIO_0,-,,B,,,,
,,D1.38,VBAT_PIO_1,-,,B,,,,
,,D1.39,VBAT_PIO_2,-,,B,,,,
21,VBAT_PIO_0,D1.40,VBAT_PIO_3,-,R,B,,,,
22,VBAT_PIO_1,D1.41,VBAT_PIO_4,-,R,B,,,,
,,D1.42,VBAT_PIO_5,-,,B,,,,
,,D1.43,VBAT_PIO_6,-,,B,,,,
23,VBAT_PIO_2,D1.44,VBAT_PIO_7,-,R,B,,,,
0,,D1.45,GND_XTAL%C%U_PAD_GNDA_XTAL,-,,B,G,,,
23,VBAT_PIO_2,D1.46,LEXT_IN,-,R,B,,,,
24,VBAT_PIO_3,D1.47,LEXT_OUT,-,R,B,,,,
24,VBAT_PIO_3,D1.48,VBAT_PIO_8,-,R,B,,,,
0,,D1.49,GND_APR%C%U_PAD_GNDA_7,-,,B,G,,,
0,,D1.49,GND_APR%C%U_PAD_GNDA_7,-,,B,G,,,
D1.21,,D1.50,VDD33%IO%U_PAD_VDDA33_1,-,,B,P,,,
,,D1.51,PAD_RESB,-,,B,,,,
,,D1.52,PAD_DDR_VSSA33,-,,B,,,,PSRAM-AIP
