PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
1,VDD33_ANA,1,PAD_RX_VDDA33,-,L,L,P,,,RX
,,2,PAD_RX_VLDO11,-,,L,P,,,RX
,,3,PAD_RX_VSSA11,-,,L,G,,,RX
2,MIPI_CSI_RX_L0P,4,MIPI_CSI_RX_L0P,-,L,L,,,,RX
3,MIPI_CSI_RX_L0N,5,MIPI_CSI_RX_L0N,-,L,L,,,,RX
,,6,PAD_RX_VSSA11,-,,L,G,,,RX
4,MIPI_CSI_RX_L1P,7,MIPI_CSI_RX_L1P,-,L,L,,,,RX
5,MIPI_CSI_RX_L1N,8,MIPI_CSI_RX_L1N,-,L,L,,,,RX
,,9,PAD_RX_VSSA11,-,,L,G,,,RX
6,MIPI_CSI_RX_CLKP,10,MIPI_CSI_RX_CLKP,-,L,L,,,,RX
7,MIPI_CSI_RX_CLKN,11,MIPI_CSI_RX_CLKN,-,L,L,,,,RX
,,12,PAD_RX_VSSA11,-,,L,G,,,RX
8,VDD11,13,,-,L,L,P,,,
9,VDD33,14,VDD33_IOB,-,L,L,P,,,
10,BOOT0_PIO_0,15,PAD_VTEST,-,L,L,,,,
10,BOOT0_PIO_0,16,PIO_0,-,L,L,,,,
11,BOOT1_PIO_1,17,PIO_1,-,L,L,,,,
12,BOOT2_PIO_2,18,PIO_2,-,L,L,,,,
13,TEST,19,TEST,-,L,L,,,,
14,RESETN,20,RESETN,-,L,L,,,,
15,LDO_EN,21,LDO_EN,-,B,B,,,,LDO
16,PIO_3,22,PIO_3,-,B,B,,,,
17,PIO_4,23,PIO_4,-,B,B,,,,
18,PIO_5,24,PIO_5,-,B,B,,,,
19,PIO_6,25,PIO_6,-,B,B,,,,
20,VBAT,26,VDD33_BAT,-,B,B,P,,,RTC
,,27,VBAT_PIO_0,-,,B,,,,RTC
,,28,VBAT_PIO_1,-,,B,,,,RTC
,,29,VBAT_PIO_2,-,,B,,,,RTC
21,VBAT_PIO_0,30,VBAT_PIO_3,-,B,B,,,,RTC
22,VBAT_PIO_1,31,VBAT_PIO_4,-,B,B,,,,RTC
,,32,VBAT_PIO_5,-,,B,,,,RTC
,,33,VBAT_PIO_6,-,,B,,,,RTC
23,VBAT_PIO_2,34,VBAT_PIO_7,-,B,B,,,,RTC
,,35,GND_XTAL,-,,B,G,,,RTC
23,VBAT_PIO_2,36,LEXT_IN,-,B,B,,,,RTC
24,VBAT_PIO_3,37,LEXT_OUT,-,B,B,,,,RTC
24,VBAT_PIO_3,38,VBAT_PIO_8,-,B,B,,,,RTC
,,39,PIO_7,-,,B,,,,
,,40,PIO_8,-,,B,,,,
,,41,PIO_9,-,,B,,,,
,,42,PIO_10,-,,B,,,,
,,43,PIO_11,-,,B,,,,
,,44,PIO_12,-,,B,,,,
,,45,PIO_13,-,,B,,,,
,,46,PIO_14,-,,B,,,,
,,47,PIO_15,-,,B,,,,
,,48,PIO_16,-,,B,,,,
,,49,PIO_17,-,,B,,,,
25,VDD33_RAM,50,PAD_DDR_VDDA33,-,B,R,P,,,PSRAM
,,51,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,52,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,53,PAD_CKB,-,,R,,,,PSRAM
,,54,PAD_CK,-,,R,,,,PSRAM
,,55,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,56,PAD_CEB,-,,R,,,,PSRAM
,,57,PAD_LDM,-,,R,,,,PSRAM
,,58,PAD_DDR_VLDO,-,,R,P,,,PSRAM
,,59,PAD_DQSB,-,,R,,,,PSRAM
26,PSR_DQS,60,PAD_DQS,-,B,R,,,,PSRAM
,,61,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
27,PSR_DQ7,62,PAD_DQ7,-,B,R,,,,PSRAM
28,PSR_DQ6,63,PAD_DQ6,-,B,R,,,,PSRAM
,,64,PAD_DDR_VLDO,-,,R,P,,,PSRAM
29,PSR_DQ5,65,PAD_DQ5,-,R,R,,,,PSRAM
30,PSR_DQ4,66,PAD_DQ4,-,R,R,,,,PSRAM
,,67,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
31,PSR_CK,68,PAD_CK_LS,-,R,R,,,,PSRAM
,,69,PAD_CKB_LS,-,,R,,,,PSRAM
32,PSR_CE,70,PAD_CEB_LS,-,R,R,,,,PSRAM
33,PSR_DQ3,71,PAD_DQ3,-,R,R,,,,PSRAM
34,PSR_DQ2,72,PAD_DQ2,-,R,R,,,,PSRAM
,,73,PAD_DDR_VLDO,-,,R,P,,,PSRAM
35,PSR_DQ1,74,PAD_DQ1,-,R,R,,,,PSRAM
36,PSR_DQ0,75,PAD_DQ0,-,R,R,,,,PSRAM
,,76,PAD_DDR_VSSA33,-,,R,G,,,PSRAM
,,77,PAD_RESB,-,,R,,,,PSRAM
37,AGND,78,PAD_AUDIO_VSS33,-,R,R,G,,,AUDIO_CODEC
38,LOUT,79,PAD_AUDIO_LOUT,-,R,R,,,,AUDIO_CODEC
39,MICBIAS,80,PAD_AUDIO_MICBIAS,-,R,R,,,,AUDIO_CODEC
40,MICIN,81,PAD_AUDIO_IN,-,R,R,,,,AUDIO_CODEC
41,VDD33_DAC,82,PAD_AUDIO_VDD33,-,R,R,P,,,AUDIO_CODEC
,,83,QSPI0_WP,-,,R,,,,FLASH
,,84,QSPI0_DO,-,,R,,,,FLASH
,,85,QSPI0_CS,-,,R,,,,FLASH
41,VDD33_DAC,86,VDD33_FLS,-,R,R,P,,,FLASH
,,87,QSPI0_HOLD,-,,R,,,,FLASH
