PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,PAD_X,PAD_Y,PAD_W,PAD_H
1,VDD33_ANA,1,PAD_RX_VDDA33,-,L,L,P,,,RX,,,,
0,,2,PAD_RX_VLDO11,-,,L,P,,,RX,,,,
0,,3,PAD_RX_VSSA11,-,,L,G,,,RX,,,,
2,MIPI_CSI_RX_L0P,4,MIPI_CSI_RX_L0P,-,L,L,,,,RX,,,,
3,MIPI_CSI_RX_L0N,5,MIPI_CSI_RX_L0N,-,L,L,,,,RX,,,,
0,,6,PAD_RX_VSSA11,-,,L,G,,,RX,,,,
4,MIPI_CSI_RX_L1P,7,MIPI_CSI_RX_L1P,-,L,L,,,,RX,,,,
5,MIPI_CSI_RX_L1N,8,MIPI_CSI_RX_L1N,-,L,L,,,,RX,,,,
0,,9,PAD_RX_VSSA11,-,,L,G,,,RX,,,,
6,MIPI_CSI_RX_CLKP,10,MIPI_CSI_RX_CLKP,-,L,L,,,,RX,,,,
7,MIPI_CSI_RX_CLKN,11,MIPI_CSI_RX_CLKN,-,L,L,,,,RX,,,,
0,,12,PAD_RX_VSSA11,-,,L,G,,,RX,,,,
8,VDD11,13,,-,L,L,P,,,,,,,
9,VDD33,14,VDD33_IOB,-,L,L,P,,,,,,,
10,BOOT0_PIO_0,15,PAD_VTEST,-,L,L,,,,,,,,
10,BOOT0_PIO_0,16,PIO_0,-,L,L,,,,,,,,
11,BOOT1_PIO_1,17,PIO_1,-,L,L,,,,,,,,
12,BOOT2_PIO_2,18,PIO_2,-,L,L,,,,,,,,
13,TEST,19,TEST,-,L,B,,,,,,,,
14,RESETN,20,RESETN,-,L,B,,,,,,,,
15,LDO_EN,21,LDO_EN,-,B,B,,,,LDO,,,,
16,PIO_3,22,PIO_3,-,B,B,,,,,,,,
17,PIO_4,23,PIO_4,-,B,B,,,,,,,,
18,PIO_5,24,PIO_5,-,B,B,,,,,,,,
19,PIO_6,25,PIO_6,-,B,B,,,,,,,,
20,VBAT,26,VDD33_BAT,-,B,B,P,,,RTC,,,,
0,,27,VBAT_PIO_0,-,,B,,,,RTC,,,,
0,,28,VBAT_PIO_1,-,,B,,,,RTC,,,,
0,,29,VBAT_PIO_2,-,,B,,,,RTC,,,,
21,VBAT_PIO_0,30,VBAT_PIO_3,-,B,B,,,,RTC,,,,
22,VBAT_PIO_1,31,VBAT_PIO_4,-,B,B,,,,RTC,,,,
0,,32,VBAT_PIO_5,-,,B,,,,RTC,,,,
0,,33,VBAT_PIO_6,-,,B,,,,RTC,,,,
23,VBAT_PIO_2,34,VBAT_PIO_7,-,B,B,,,,RTC,,,,
0,,35,GND_XTAL,-,,B,G,,,RTC,,,,
23,VBAT_PIO_2,36,LEXT_IN,-,B,B,,,,RTC,,,,
24,VBAT_PIO_3,37,LEXT_OUT,-,B,B,,,,RTC,,,,
24,VBAT_PIO_3,38,VBAT_PIO_8,-,B,B,,,,RTC,,,,
25,PIO_7,39,PIO_7,-,B,B,,,,,,,,
26,PIO_8,40,PIO_8,-,B,B,,,,,,,,
27,PIO_9,41,PIO_9,-,B,B,,,,,,,,
28,PIO_10,42,PIO_10,-,B,B,,,,,,,,
29,PIO_11,43,PIO_11,-,R,B,,,,,,,,
30,PIO_12,44,PIO_12,-,R,B,,,,,,,,
31,PIO_13,45,PIO_13,-,R,B,,,,,,,,
32,PIO_14,46,PIO_14,-,R,R,,,,,,,,
33,PIO_15,47,PIO_15,-,R,R,,,,,,,,
34,PIO_16,48,PIO_16,-,R,R,,,,,,,,
35,PIO_17,49,PIO_17,-,R,R,,,,,,,,
