PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,,
DIE_SIZE : 3440x3440,,,,,,,,,,,
,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,
1,VDD33_ANA,1,PAD_RX_VDDA33,-,L,L,P,,,RX,
,,2,PAD_RX_VLDO11,-,,L,P,,,RX,
0,,3,PAD_RX_VSSA11,-,,L,G,,,RX,
2,MIPI_CSI_RX_L0P,4,MIPI_CSI_RX_L0P,-,L,L,,,,RX,
3,MIPI_CSI_RX_L0N,5,MIPI_CSI_RX_L0N,-,L,L,,,,RX,
0,,6,PAD_RX_VSSA11,-,,L,G,,,RX,
4,MIPI_CSI_RX_L1P,7,MIPI_CSI_RX_L1P,-,L,L,,,,RX,
5,MIPI_CSI_RX_L1N,8,MIPI_CSI_RX_L1N,-,L,L,,,,RX,
0,,9,PAD_RX_VSSA11,-,,L,G,,,RX,
6,MIPI_CSI_RX_CLKP,10,MIPI_CSI_RX_CLKP,-,L,L,,,,RX,
7,MIPI_CSI_RX_CLKN,11,MIPI_CSI_RX_CLKN,-,L,L,,,,RX,
0,,12,PAD_RX_VSSA11,-,,L,G,,,RX,
8,VDD11,13,,-,L,L,P,,,,
9,VDD33,14,VDD33_IOB,-,L,L,P,,,,
10,BOOT0_PIO_0,15,PAD_VTEST,-,L,L,,,,,
10,BOOT0_PIO_0,16,PIO_0,-,L,L,,,,,
11,BOOT1_PIO_1,17,PIO_1,-,L,L,,,,,
12,BOOT2_PIO_2,18,PIO_2,-,L,L,,,,,
13,TEST,19,TEST,-,L,B,,,,,
14,RESETN,20,RESETN,-,L,B,,,,,
15,LDO_EN,21,LDO_EN,-,B,B,,,,LDO,
16,PIO_3,22,PIO_3,-,B,B,,,,,
17,PIO_4,23,PIO_4,-,B,B,,,,,
18,PIO_5,24,PIO_5,-,B,B,,,,,
19,PIO_6,25,PIO_6,-,B,B,,,,,
20,VBAT,26,VDD33_BAT,-,B,B,P,,,RTC,
,,27,VBAT_PIO_0,-,,B,,,,RTC,
,,28,VBAT_PIO_1,-,,B,,,,RTC,
,,29,VBAT_PIO_2,-,,B,,,,RTC,
21,VBAT_PIO_0,30,VBAT_PIO_3,-,B,B,,,,RTC,
22,VBAT_PIO_1,31,VBAT_PIO_4,-,B,B,,,,RTC,
,,32,VBAT_PIO_5,-,,B,,,,RTC,
,,33,VBAT_PIO_6,-,,B,,,,RTC,
23,VBAT_PIO_2,34,VBAT_PIO_7,-,B,B,,,,RTC,
,,35,GND_XTAL,-,,B,G,,,RTC,
23,VBAT_PIO_2,36,LEXT_IN,-,B,B,,,,RTC,
24,VBAT_PIO_3,37,LEXT_OUT,-,B,B,,,,RTC,
24,VBAT_PIO_3,38,VBAT_PIO_8,-,B,B,,,,RTC,
,,39,PIO_7,-,B,B,,,,,
,,40,PIO_8,-,B,B,,,,,
,,41,PIO_9,-,B,B,,,,,
,,42,PIO_10,-,B,B,,,,,
,,43,PIO_11,-,R,B,,,,,
,,44,PIO_12,-,R,B,,,,,
,,45,PIO_13,-,R,B,,,,,
,,46,PIO_14,-,R,R,,,,,
,,47,PIO_15,-,R,R,,,,,
,,48,PIO_16,-,R,R,,,,,
,,49,PIO_17,-,R,R,,,,,
25,PIO_7,78,PIO_18,-,R,R,,,,,
26,PIO_8,79,PIO_19,-,R,R,,,,,
27,PIO_9,80,PIO_20,-,R,R,,,,,
28,PIO_10,81,PIO_21,-,R,R,,,,,
,,50,PAD_RESB,-,R,R,,,,PSRAM,
,,51,PAD_DDR_VSSA33,-,,R,,,,PSRAM,
29,PSR_DQ0,52,PAD_DQ0,-,,R,,,,PSRAM,
30,PSR_DQ1,53,PAD_DQ1,-,,R,,,,PSRAM,
,,54,PAD_DDR_VLDO,-,,R,,,,PSRAM,
31,PSR_DQ2,55,PAD_DQ2,-,,R,,,,PSRAM,
32,PSR_DQ3,56,PAD_DQ3,-,,R,,,,PSRAM,
33,PSR_CE,57,PAD_CEB_LS,-,,R,,,,PSRAM,
,,58,PAD_CKB_LS,-,,R,,,,PSRAM,
34,PSR_CK,59,PAD_CK_LS,-,,R,,,,PSRAM,
,,60,PAD_DDR_VSSA33,-,,R,,,,PSRAM,
35,PSR_DQ4,61,PAD_DQ4,-,,R,,,,PSRAM,
36,PSR_DQ5,62,PAD_DQ5,-,,R,,,,PSRAM,
,,63,PAD_DDR_VLDO,-,,R,,,,PSRAM,
37,PSR_DQ6,64,PAD_DQ6,-,,R,,,,PSRAM,
38,PSR_DQ7,65,PAD_DQ7,-,,R,,,,PSRAM,
,,66,PAD_DDR_VSSA33,-,,R,,,,PSRAM,
39,PSR_DQS,67,PAD_DQS,-,,R,,,,PSRAM,
,,68,PAD_DQSB,-,,R,,,,PSRAM,
,,69,PAD_DDR_VLDO,-,,R,,,,PSRAM,
,,70,PAD_LDM,-,,R,,,,PSRAM,
,,71,PAD_CEB,-,,R,,,,PSRAM,
,,72,PAD_DDR_VSSA33,-,,R,,,,PSRAM,
,,73,PAD_CK,-,,R,,,,PSRAM,
,,74,PAD_CKB,-,,R,,,,PSRAM,
,,75,PAD_DDR_VLDO,-,,R,,,,PSRAM,
,,76,PAD_DDR_VSSA33,-,,R,,,,PSRAM,
40,VDD33_RAM,77,PAD_DDR_VDDA33,-,R,R,P,,,PSRAM,
41,PIO_11,82,PIO_22,-,R,R,,,,,
42,PIO_12,83,PIO_23,-,R,R,,,,,
43,VDD11,84,,-,T,R,P,,,,
44,PIO_13,85,PIO_24,-,T,R,,,,,
45,PIO_14,86,PIO_25,-,T,R,,,,,
46,PIO_15,87,PIO_26,-,T,T,,,,,
47,PIO_16,88,PIO_27,-,T,T,,,,,
