PROJECT NO  : PRJ8803_QFN56_PSRAM,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
DIE_SIZE : 4000x3500,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
1,VDD33_ANA,1,,-,L,L,P,,,
2,MIPI_CSI_RX_L0P,2,MIPI_CSI_RX_L0P,-,L,L,,,,MIPI
3,MIPI_CSI_RX_L0N,3,MIPI_CSI_RX_L0N,-,L,L,,,,MIPI
4,MIPI_CSI_RX_L1P,4,MIPI_CSI_RX_L1P,-,L,L,,,,MIPI
5,MIPI_CSI_RX_L1N,5,MIPI_CSI_RX_L1N,-,L,L,,,,MIPI
6,MIPI_CSI_RX_CLKP,6,MIPI_CSI_RX_CLKP,-,L,L,,,,MIPI
7,MIPI_CSI_RX_CLKN,7,MIPI_CSI_RX_CLKN,-,L,L,,,,MIPI
8,VDD11,8,,-,L,L,P,,,
9,VDD33,9,,-,L,L,P,,,
10,BOOT0_PIO_0,10,PIO_0,-,L,L,,,,
11,BOOT1_PIO_1,11,PIO_1,-,L,L,,,,
12,BOOT2_PIO_2,12,PIO_2,-,L,L,,,,
13,TEST,13,TEST,-,L,B,,,,
14,RESETN,14,RESETN,-,L,B,,,,
15,LDO_EN,15,LDO_EN,-,B,B,,,,LDO
16,PIO_3,16,PIO_3,-,B,B,,,,
17,PIO_4,17,PIO_4,-,B,B,,,,
18,PIO_5,18,PIO_5,-,B,B,,,,
19,PIO_6,19,PIO_6,-,B,B,,,,
20,VBAT,20,,-,B,B,P,,,
,,21,VBAT_PIO_0,-,,B,,,,RTC
,,22,VBAT_PIO_1,-,,B,,,,RTC
,,23,VBAT_PIO_2,-,,B,,,,RTC
21,VBAT_PIO_0,24,VBAT_PIO_3,-,B,B,,,,RTC
22,VBAT_PIO_1,25,VBAT_PIO_4,-,B,B,,,,RTC
,,26,VBAT_PIO_5,-,,B,,,,RTC
